list_date,list_price,sold_date,sold_price,beds,baths,sqft,lot_sqft,city,street,zip,latitude,longitude
2025-01-07,285000,2025-03-06,295000,2,2.0,1176,7536,Saint Paul,1067 Argyle St,55103,44.97325,-93.143075
2024-12-05,325000,2025-01-08,330000,3,1.0,1367,6708,Saint Paul,1820 Englewood Ave,55104,44.963509,-93.177611
,,2025-03-10,310000,7,3.0,2860,,Saint Paul,693 Saint Albans St N,55104,44.962318,-93.129107
2024-10-11,339500,2025-03-06,330000,5,1.5,1893,5358,Saint Paul,1699 Thomas Ave,55104,44.959531,-93.171906
2024-12-13,289900,2025-01-27,284000,3,2.0,2067,4835,Saint Paul,1636 W Breda Ave,55108,44.976139,-93.169315
2024-09-24,124995,2024-12-20,115000,2,1.0,908,4966,Saint Paul,450 Forest St,55106,44.955196,-93.060687
2024-11-27,225000,2024-12-30,226500,2,1.0,872,6839,Saint Paul,2102 4th St E,55119,44.958275,-93.011803
,,2025-01-08,112000,2,2.0,1596,4966,Saint Paul,659 Edmund Ave,55104,44.958695,-93.12796
,,2025-02-19,42500,3,2.0,1410,7379,Saint Paul,984 Fremont Ave,55106,44.957396,-93.059053
,,2024-12-23,285000,3,1.0,1420,8960,Saint Paul,2087 Burns Ave,55119,44.948922,-93.011971
2024-10-17,565000,2025-03-21,555000,5,3.0,2733,5227,Saint Paul,552 Brimhall St,55116,44.924801,-93.165368
,,2025-04-16,130000,3,1.0,1176,4961,Saint Paul,1258 Blair Ave,55104,44.960892,-93.153305
,,2025-03-12,127500,4,2.0,1645,5001,Saint Paul,487 Sherburne Ave,55103,44.956922,-93.120581
2025-02-16,1095000,2025-02-14,1095000,4,2.5,3678,6839,Saint Paul,2247 Riverwood Pl,55104,44.944948,-93.195004
2024-11-15,310000,2024-12-16,315000,4,2.0,1809,4922,Saint Paul,1987 Maryland Ave E,55119,44.977756,-93.016432
,,2025-04-25,245000,3,1.0,1188,5279,Saint Paul,786 Iglehart Ave,55104,44.949231,-93.13355
,,2025-01-07,210000,3,1.5,1837,5959,Saint Paul,1033 Wakefield Ave,55106,44.953436,-93.056869
2024-11-14,199900,2025-02-07,190000,3,2.0,1078,9757,Saint Paul,732 Burr St,55130,44.963353,-93.079547
2025-03-12,340000,2025-04-04,378500,3,2.0,2062,3920,Saint Paul,1168 Lexington Pkwy N,55103,44.976473,-93.146104
,,2024-12-11,475000,3,1.5,2840,5001,Saint Paul,1791 Bayard Ave,55116,44.92274,-93.175824
,,2024-12-12,220000,3,1.0,1056,5009,Saint Paul,803 Case Ave,55106,44.970559,-93.066649
2025-03-06,650000,2025-04-09,680000,3,2.5,2266,6229,Saint Paul,1971 Bayard Ave,55116,44.92233,-93.183636
2025-02-13,200000,2025-03-10,225000,3,1.5,1135,2178,Saint Paul,573 Charles Ave,55103,44.957807,-93.124435
2025-02-03,349900,2025-03-11,356500,3,2.5,1985,9060,Saint Paul,50 Battle Creek Pl,55119,44.942474,-93.023595
2024-12-03,219900,2025-01-28,219900,3,1.0,1705,1394,Saint Paul,439 Grotto St N,55104,44.954452,-93.131603
,,2025-01-28,100000,2,2.0,1400,4961,Saint Paul,571 Van Buren Ave,55103,44.962315,-93.12449
,,2024-12-10,269000,3,1.0,1048,5706,Saint Paul,2194 Bush Ave E,55119,44.964604,-93.008219
,,2024-12-11,220000,2,1.0,1368,6839,Saint Paul,2165 Fremont Ave E,55119,44.957892,-93.009248
2025-03-15,209900,2025-04-29,216500,3,1.0,1280,5053,Saint Paul,702 Rose Ave E,55106,44.976316,-93.070799
2024-10-03,240000,2025-02-12,247200,3,1.0,1500,5053,Saint Paul,2129 Reaney Ave E,55119,44.964217,-93.010764
2025-02-08,225000,2025-03-14,245000,3,1.0,1407,8276,Saint Paul,2095 Jessamine Ave E,55119,44.974526,-93.011739
2024-09-04,275000,2024-12-13,256000,3,1.0,1382,6229,Saint Paul,2234 3rd St E,55119,44.956446,-93.006513
2024-11-15,229900,2024-12-30,225000,3,1.0,1350,7492,Saint Paul,133 York Ave,55117,44.96842,-93.094979
2024-08-29,235000,2025-02-28,230000,2,1.0,865,5009,Saint Paul,654 Larpenteur Ave W,55113,44.991509,-93.127631
2024-12-03,130000,2025-01-09,113000,2,1.0,1160,2474,Saint Paul,912 Farrington St,55117,44.968716,-93.113266
2024-11-17,265000,2025-01-27,280000,4,2.0,1758,5271,Saint Paul,712 Parkway Dr,55106,44.988885,-93.071993
2024-11-19,220000,2025-01-08,221000,2,1.0,1560,7492,Saint Paul,2056 Magnolia Ave E,55119,44.972963,-93.013565
2025-01-22,298950,2025-02-28,310000,3,2.0,1736,5184,Saint Paul,344 Page St E,55107,44.924588,-93.070872
2025-01-14,325000,2025-02-19,335000,3,2.0,1400,6229,Saint Paul,222 Congress St W,55107,44.931972,-93.094911
2024-12-18,235000,2025-01-17,270000,4,1.0,1483,6142,Saint Paul,1098 Margaret St,55106,44.961008,-93.0541
