sale_date,sale_price,latitude,longitude,city,zoning,subdivision,present_use,land_val,imp_val,year_built,sqft_lot,sqft,stories,beds,bath_full,wfnt,golf,greenbelt,noise_traffic,view_rainier,view_olympics,view_cascades,view_territorial,view_skyline,view_sound,view_lakewash,view_lakesamm
2020-08-21,3150000,47.6329243470696,-122.198824363876,BELLEVUE,R-4,APPLE VALLEY HOMES NO. 02,2,150000,120000,1954,8250,1710,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-02,2300000,47.595860160011,-122.200883342048,BELLEVUE,R-4,ELLENES ADD,2,170000,98000,1951,9590,1720,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,1300000,47.4543981123023,-122.348305356027,BURIEN,R-6,BURIEN LAKE VIEW TRACTS,2,58000,84000,1950,12150,1020,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-24,2960000,47.6353440224685,-122.207583185593,BELLEVUE,R-4,SUMMIT PLACE 2ND ADD,2,150000,59000,1953,9656,1580,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,2960000,47.6353440224685,-122.207583185593,BELLEVUE,R-4,SUMMIT PLACE 2ND ADD,2,150000,59000,1953,9656,1580,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-08,650000,47.4682838756769,-122.349213631214,BURIEN,R-18,DASHLEYS ADD NO. 02,2,72000,26000,1919,11430,700,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-16,710000,47.4617425837402,-122.341389259977,BURIEN,R-18,BURIEN LAKE VIEW TRACTS DIV NO. 03,2,53000,19000,1920,22500,670,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-17,765000,47.4766744551369,-122.1730767751,RENTON,R-8,MAPLEWOOD DIV NO. 02,2,45000,118000,1944,10185,1940,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-22,2750000,47.4948719074924,-122.374907849628,BURIEN,R-4,,2,310000,126000,1948,9000,1780,2.0,3,1,3,0,0,0,0,4,0,4,0,4,0,0
2020-10-12,2505000,47.6235382771688,-122.195595101722,BELLEVUE,R-4,,2,135000,106000,1953,14106,2050,1.0,4,1,0,0,0,2,0,0,0,0,0,0,0,0
