list_date,list_price,sold_date,sold_price,beds,baths,sqft,lot_sqft,city,street,zip,latitude,longitude
2024-12-03,130000,2025-01-09,113000,2,1,1160,2474,Saint Paul,912 Farrington St,55117,44.968716,-93.113266
2024-10-17,565000,2025-03-21,555000,5,3,2733,5227,Saint Paul,552 Brimhall St,55116,44.924801,-93.165368
,,2025-04-16,130000,3,1,1176,4961,Saint Paul,1258 Blair Ave,55104,44.960892,-93.153305
2025-03-06,650000,2025-04-09,680000,3,2.5,2266,6229,Saint Paul,1971 Bayard Ave,55116,44.92233,-93.183636
2024-10-03,285000,2024-12-31,280000,3,1,1418,10019,Saint Paul,663 Idaho Ave E,55106,44.990375,-93.072565
2024-11-14,165000,2024-12-18,180000,3,1,997,4922,Saint Paul,1378 Lafond Ave,55104,44.95996,-93.158406
,,2025-04-29,267000,3,2,1504,6011,Saint Paul,986 Germain Ct,55106,44.971254,-93.032859
2024-10-21,619000,2025-02-26,590000,5,3,2601,4792,Saint Paul,1133 Palace Ave,55105,44.929007,-93.147987
2025-02-22,449900,2025-04-10,470000,3,2,1642,5968,Saint Paul,884 Ashland Ave,55104,44.943625,-93.137483
,,2025-04-29,264000,3,1,998,6055,Saint Paul,1691 4th St E,55106,44.958842,-93.029067
2025-02-20,349900,2025-04-04,350000,3,1,1386,6970,Saint Paul,1131 Norbert Ln,55116,44.907666,-93.182033
2024-10-16,237000,2025-02-14,237000,3,2,1200,4792,Saint Paul,984 Cook Ave E,55106,44.972759,-93.058994
,,2025-04-17,159900,3,1.5,1047,5001,Saint Paul,782 Cook Ave E,55106,44.972737,-93.067406
2024-11-15,465000,2024-12-20,465000,4,2.5,2284,9191,Saint Paul,117 Elizabeth St W,55107,44.927367,-93.090412
2024-09-20,309900,2024-12-23,273000,6,3,2374,7144,Saint Paul,234 Kennard St,55106,44.946925,-93.029886
2025-02-14,679000,2025-04-15,692580,4,4,3556,4792,Saint Paul,397 Ashland Ave,55102,44.944575,-93.116781
,,2025-05-06,497500,5,4,2810,15000,Saint Paul,2032 Oakridge St,55119,44.921609,-93.014514
2025-03-15,209900,2025-04-29,216500,3,1,1280,5053,Saint Paul,702 Rose Ave E,55106,44.976316,-93.070799
,,2025-01-27,176415,3,2,1381,5227,Saint Paul,1934 Stillwater Ave E,55119,44.968031,-93.01857
2024-11-19,220000,2025-01-08,221000,2,1,1560,7492,Saint Paul,2056 Magnolia Ave E,55119,44.972963,-93.013565
2024-10-31,389900,2024-12-10,389900,3,2,2005,5227,Saint Paul,1591 Huron St,55108,44.989143,-93.155659
2025-01-22,298950,2025-02-28,310000,3,2,1736,5184,Saint Paul,344 Page St E,55107,44.924588,-93.070872
2025-03-07,315000,2025-04-18,330000,4,2.5,2336,5053,Saint Paul,277 Winifred St E,55107,44.930319,-93.072462
,,2025-02-04,325000,3,2,1008,16065,Saint Paul,1305 Maryland Ave E,55106,44.977789,-93.045128
2024-11-19,220000,2025-01-08,221000,2,1,1560,7492,Saint Paul,2056 Magnolia Ave E,55119,44.972963,-93.013565
2025-01-22,298950,2025-02-28,310000,3,2,1736,5184,Saint Paul,344 Page St E,55107,44.924588,-93.070872
2025-01-14,325000,2025-02-19,335000,3,2,1400,6229,Saint Paul,222 Congress St W,55107,44.931972,-93.094911
2024-12-18,235000,2025-01-17,270000,4,1,1483,6142,Saint Paul,1098 Margaret St,55106,44.961008,-93.0541
2024-10-17,199900,2024-12-20,206000,3,1,1357,5881,Saint Paul,1609 7th St E,55106,44.966998,-93.032407
2024-10-31,389900,2024-12-10,389900,3,2,2005,5227,Saint Paul,1591 Huron St,55108,44.989143,-93.155659
2024-12-11,229900,2025-01-21,230000,2,1,1128,6360,Saint Paul,2067 Fremont Ave E,55119,44.95789,-93.013125
2025-01-30,324800,2025-03-10,340000,3,2,1565,5750,Saint Paul,567 Pelham Blvd,55104,44.957677,-93.200585
2025-03-07,315000,2025-04-18,330000,4,2.5,2336,5053,Saint Paul,277 Winifred St E,55107,44.930319,-93.072462
,,2025-02-04,325000,3,2,1008,16065,Saint Paul,1305 Maryland Ave E,55106,44.977789,-93.045128
2024-08-22,945000,2025-03-13,915000,6,3.5+,4538,15594,Saint Paul,794 Linwood Ave,55105,44.934415,-93.133525
,,2025-02-13,139000,3,1,862,5097,Saint Paul,1299 Marion St,55117,44.980307,-93.110095
2025-03-19,350000,2025-05-09,420000,2,2,1478,22433,Saint Paul,604 Lexington Pkwy S,55116,44.923217,-93.14592
2025-01-17,250000,2025-03-21,250000,4,1.5,1885,4792,Saint Paul,1048 Conway St,55106,44.955605,-93.05628
2025-02-18,265000,2025-03-28,285000,3,1.5,1183,3659,Saint Paul,1415 Taylor Ave W,55104,44.967977,-93.160031
,,2025-05-06,497500,5,4,2810,15000,Saint Paul,2032 Oakridge St,55119,44.921609,-93.014514
2025-01-14,500000,2025-02-20,550000,3,2,2047,6098,Saint Paul,1132 Montana Ave W,55108,44.987206,-93.147689
2024-10-21,599900,2024-12-06,600000,4,2.5,2338,7841,Saint Paul,1924 Pinehurst Ave,55116,44.91862,-93.181599
2024-09-18,190000,2024-12-11,183000,2,1,708,5009,Saint Paul,1992 Clear Ave E,55119,44.981769,-93.016256
2025-01-29,350000,2025-03-04,385900,2,1.5,1611,7536,Saint Paul,1677 Montreal Ave,55116,44.912802,-93.170963
2025-03-11,550000,2025-04-15,600000,4,2.5,2150,7579,Saint Paul,1684 Watson Ave,55116,44.924027,-93.171344
,,2024-12-20,196000,5,1,1618,12589,Saint Paul,184 Page St W,55107,44.924355,-93.093339
2025-02-11,595000,2025-02-27,651000,5,2.5,2700,5793,Saint Paul,495 Cretin Ave S,55116,44.926595,-93.192821
2024-10-26,325000,2025-01-31,325000,3,2,1538,5489,Saint Paul,403 Arlington Ave W,55117,44.984844,-93.116941
,,2025-01-27,176415,3,2,1381,5227,Saint Paul,1934 Stillwater Ave E,55119,44.968031,-93.01857
,,2025-01-08,250000,3,1,900,6499,Saint Paul,1265 Folsom St,55117,44.979321,-93.133074
2025-01-31,355000,2025-03-31,363000,2,2,2050,18644,Saint Paul,2184 Bonnie Ln,55119,44.90463,-93.007994
