list_date,list_price,sold_date,sold_price,beds,baths,sqft,lot_sqft,city,street,zip,latitude,longitude
1/7/2025,285000,3/6/2025,295000,2,2,1176,7536,Saint Paul,1067 Argyle St,55103,44.97325,-93.143075
12/5/2024,325000,1/8/2025,330000,3,1,1367,6708,Saint Paul,1820 Englewood Ave,55104,44.963509,-93.177611
,,3/10/2025,310000,7,3,2860,,Saint Paul,693 Saint Albans St N,55104,44.962318,-93.129107
10/11/2024,339500,3/6/2025,330000,5,1.5,1893,5358,Saint Paul,1699 Thomas Ave,55104,44.959531,-93.171906
12/13/2024,289900,1/27/2025,284000,3,2,2067,4835,Saint Paul,1636 W Breda Ave,55108,44.976139,-93.169315
9/24/2024,124995,12/20/2024,115000,2,1,908,4966,Saint Paul,450 Forest St,55106,44.955196,-93.060687
11/27/2024,225000,12/30/2024,226500,2,1,872,6839,Saint Paul,2102 4th St E,55119,44.958275,-93.011803
,,1/8/2025,112000,2,2,1596,4966,Saint Paul,659 Edmund Ave,55104,44.958695,-93.12796
,,2/19/2025,42500,3,2,1410,7379,Saint Paul,984 Fremont Ave,55106,44.957396,-93.059053
,,12/23/2024,285000,3,1,1420,8960,Saint Paul,2087 Burns Ave,55119,44.948922,-93.011971
10/17/2024,565000,3/21/2025,555000,5,3,2733,5227,Saint Paul,552 Brimhall St,55116,44.924801,-93.165368
,,4/16/2025,130000,3,1,1176,4961,Saint Paul,1258 Blair Ave,55104,44.960892,-93.153305
,,3/12/2025,127500,4,2,1645,5001,Saint Paul,487 Sherburne Ave,55103,44.956922,-93.120581
2/16/2025,1095000,2/14/2025,1095000,4,2.5,3678,6839,Saint Paul,2247 Riverwood Pl,55104,44.944948,-93.195004
11/15/2024,310000,12/16/2024,315000,4,2,1809,4922,Saint Paul,1987 Maryland Ave E,55119,44.977756,-93.016432
,,4/25/2025,245000,3,1,1188,5279,Saint Paul,786 Iglehart Ave,55104,44.949231,-93.13355
,,1/7/2025,210000,3,1.5,1837,5959,Saint Paul,1033 Wakefield Ave,55106,44.953436,-93.056869
11/14/2024,199900,2/7/2025,190000,3,2,1078,9757,Saint Paul,732 Burr St,55130,44.963353,-93.079547
3/12/2025,340000,4/4/2025,378500,3,2,2062,3920,Saint Paul,1168 Lexington Pkwy N,55103,44.976473,-93.146104
,,12/11/2024,475000,3,1.5,2840,5001,Saint Paul,1791 Bayard Ave,55116,44.92274,-93.175824
,,12/12/2024,220000,3,1,1056,5009,Saint Paul,803 Case Ave,55106,44.970559,-93.066649
3/6/2025,650000,4/9/2025,680000,3,2.5,2266,6229,Saint Paul,1971 Bayard Ave,55116,44.92233,-93.183636
2/13/2025,200000,3/10/2025,225000,3,1.5,1135,2178,Saint Paul,573 Charles Ave,55103,44.957807,-93.124435
2/3/2025,349900,3/11/2025,356500,3,2.5,1985,9060,Saint Paul,50 Battle Creek Pl,55119,44.942474,-93.023595
12/3/2024,219900,1/28/2025,219900,3,1,1705,1394,Saint Paul,439 Grotto St N,55104,44.954452,-93.131603
,,1/28/2025,100000,2,2,1400,4961,Saint Paul,571 Van Buren Ave,55103,44.962315,-93.12449
,,12/10/2024,269000,3,1,1048,5706,Saint Paul,2194 Bush Ave E,55119,44.964604,-93.008219
,,12/11/2024,220000,2,1,1368,6839,Saint Paul,2165 Fremont Ave E,55119,44.957892,-93.009248
3/15/2025,209900,4/29/2025,216500,3,1,1280,5053,Saint Paul,702 Rose Ave E,55106,44.976316,-93.070799
10/3/2024,240000,2/12/2025,247200,3,1,1500,5053,Saint Paul,2129 Reaney Ave E,55119,44.964217,-93.010764
2/8/2025,225000,3/14/2025,245000,3,1,1407,8276,Saint Paul,2095 Jessamine Ave E,55119,44.974526,-93.011739
9/4/2024,275000,12/13/2024,256000,3,1,1382,6229,Saint Paul,2234 3rd St E,55119,44.956446,-93.006513
11/15/2024,229900,12/30/2024,225000,3,1,1350,7492,Saint Paul,133 York Ave,55117,44.96842,-93.094979
8/29/2024,235000,2/28/2025,230000,2,1,865,5009,Saint Paul,654 Larpenteur Ave W,55113,44.991509,-93.127631
12/3/2024,130000,1/9/2025,113000,2,1,1160,2474,Saint Paul,912 Farrington St,55117,44.968716,-93.113266
11/17/2024,265000,1/27/2025,280000,4,2,1758,5271,Saint Paul,712 Parkway Dr,55106,44.988885,-93.071993
11/19/2024,220000,1/8/2025,221000,2,1,1560,7492,Saint Paul,2056 Magnolia Ave E,55119,44.972963,-93.013565
1/22/2025,298950,2/28/2025,310000,3,2,1736,5184,Saint Paul,344 Page St E,55107,44.924588,-93.070872
1/14/2025,325000,2/19/2025,335000,3,2,1400,6229,Saint Paul,222 Congress St W,55107,44.931972,-93.094911
12/18/2024,235000,1/17/2025,270000,4,1,1483,6142,Saint Paul,1098 Margaret St,55106,44.961008,-93.0541
10/17/2024,199900,12/20/2024,206000,3,1,1357,5881,Saint Paul,1609 7th St E,55106,44.966998,-93.032407
10/31/2024,389900,12/10/2024,389900,3,2,2005,5227,Saint Paul,1591 Huron St,55108,44.989143,-93.155659
12/11/2024,229900,1/21/2025,230000,2,1,1128,6360,Saint Paul,2067 Fremont Ave E,55119,44.95789,-93.013125
1/30/2025,324800,3/10/2025,340000,3,2,1565,5750,Saint Paul,567 Pelham Blvd,55104,44.957677,-93.200585
3/7/2025,315000,4/18/2025,330000,4,2.5,2336,5053,Saint Paul,277 Winifred St E,55107,44.930319,-93.072462
,,2/4/2025,325000,3,2,1008,16065,Saint Paul,1305 Maryland Ave E,55106,44.977789,-93.045128
8/22/2024,945000,3/13/2025,915000,6,3.5,4538,15594,Saint Paul,794 Linwood Ave,55105,44.934415,-93.133525
,,2/13/2025,139000,3,1,862,5097,Saint Paul,1299 Marion St,55117,44.980307,-93.110095
3/19/2025,350000,5/9/2025,420000,2,2,1478,22433,Saint Paul,604 Lexington Pkwy S,55116,44.923217,-93.14592
1/17/2025,250000,3/21/2025,250000,4,1.5,1885,4792,Saint Paul,1048 Conway St,55106,44.955605,-93.05628
2/18/2025,265000,3/28/2025,285000,3,1.5,1183,3659,Saint Paul,1415 Taylor Ave W,55104,44.967977,-93.160031
1/14/2025,500000,2/20/2025,550000,3,2,2047,6098,Saint Paul,1132 Montana Ave W,55108,44.987206,-93.147689
12/24/2024,309900,4/29/2025,305000,3,2,1934,7275,Saint Paul,1030 Larpenteur Ave W,55113,44.991636,-93.143661
,,1/8/2025,250000,3,1,900,6499,Saint Paul,1265 Folsom St,55117,44.979321,-93.133074
,,5/6/2025,497500,5,4,2810,15000,Saint Paul,2032 Oakridge St,55119,44.921609,-93.014514
1/25/2025,475000,4/18/2025,444000,5,3,2780,8538,Saint Paul,654 Orange Ave E,55106,44.979002,-93.07279
,,4/29/2025,267000,3,2,1504,6011,Saint Paul,986 Germain Ct,55106,44.971254,-93.032859
10/21/2024,619000,2/26/2025,590000,5,3,2601,4792,Saint Paul,1133 Palace Ave,55105,44.929007,-93.147987
2/22/2025,449900,4/10/2025,470000,3,2,1642,5968,Saint Paul,884 Ashland Ave,55104,44.943625,-93.137483
2/20/2025,244900,4/15/2025,245000,2,1,680,5227,Saint Paul,1830 Nebraska Ave E,55119,44.986274,-93.02308
5/2/2025,1950000,5/2/2025,1600000,3,2.5,2916,45564,Saint Paul,1630 Edgcumbe Rd,55116,44.914279,-93.151183
,,4/29/2025,264000,3,1,998,6055,Saint Paul,1691 4th St E,55106,44.958842,-93.029067
9/20/2024,309900,12/23/2024,273000,6,3,2374,7144,Saint Paul,234 Kennard St,55106,44.946925,-93.029886
12/20/2024,399900,5/14/2025,380000,3,1,1567,5097,Saint Paul,1847 Berkeley Ave,55105,44.933642,-93.178527
1/9/2025,285000,2/27/2025,290000,3,1,1251,6970,Saint Paul,2149 Fremont Ave E,55119,44.957893,-93.009827
2/27/2025,1070000,4/18/2025,1050000,4,3.5,3541,5924,Saint Paul,2230 Princeton Ave,55105,44.93586,-93.194864
4/7/2025,439900,5/1/2025,453000,4,2,2107,5053,Saint Paul,2011 James Ave,55105,44.928224,-93.185334
2/28/2025,330000,4/4/2025,339000,3,2,1524,7405,Saint Paul,688 Nebraska Ave E,55106,44.986252,-93.071553
4/21/2025,460000,5/16/2025,478000,4,3,2186,8930,Saint Paul,1464 Laurel Ave,55104,44.944706,-93.162114
3/25/2025,495000,4/25/2025,530000,3,2,1776,4922,Saint Paul,1415 Wellesley Ave,55105,44.931769,-93.160044
3/5/2025,335000,4/28/2025,345000,3,2,1310,14549,Saint Paul,640 Iowa Ave W,55117,44.98864,-93.127379
1/9/2025,299900,2/11/2025,333000,3,1.5,1637,5881,Saint Paul,999 Armstrong Ave,55102,44.925317,-93.14238
3/13/2025,250000,5/15/2025,265000,3,1,1226,4792,Saint Paul,1117 Jenks Ave,55106,44.971497,-93.053479
3/21/2025,159900,4/28/2025,165000,1,1,814,4966,Saint Paul,622 Wells St,55130,44.967273,-93.074369
3/20/2025,294900,5/5/2025,302000,3,2,1850,5140,Saint Paul,1985 4th St E,55119,44.958815,-93.016573
10/21/2024,359000,1/24/2025,340000,5,2,2240,6534,Saint Paul,1233 Prosperity Ave,55106,44.978727,-93.040014
2/13/2025,750000,3/24/2025,765000,3,1.5,2670,6011,Saint Paul,2294 Saint Clair Ave,55105,44.934048,-93.197256
2/6/2025,259900,4/25/2025,270000,3,1.5,1200,4487,Saint Paul,1133 Jackson St,55117,44.975118,-93.09673
11/4/2024,185000,12/19/2024,182000,2,1,682,1699,Saint Paul,559 Elfelt St,55103,44.958092,-93.112234
11/19/2024,240000,12/30/2024,227450,2,1,858,4792,Saint Paul,1528 Canfield Ave,55108,44.979791,-93.164897
1/27/2025,265000,3/12/2025,301000,2,1,732,6752,Saint Paul,815 Iowa Ave W,55117,44.989337,-93.13419
3/4/2025,297000,4/10/2025,309000,3,2,1418,4966,Saint Paul,781 Howell St N,55104,44.964694,-93.181411
11/4/2024,279900,2/12/2025,299000,3,1,1262,4617,Saint Paul,805 Cherokee Ave,55107,44.921886,-93.104983
12/9/2024,210000,4/30/2025,209000,2,1,1060,5053,Saint Paul,1690 Bush Ave,55106,44.964673,-93.029134
3/26/2025,215000,5/8/2025,250000,4,2,1914,4487,Saint Paul,935 Jenks Ave,55106,44.971484,-93.06122
4/26/2025,150000,5/23/2025,150000,3,1,1415,5271,Saint Paul,1005 Galtier St,55117,44.971651,-93.11143
4/23/2025,250000,5/27/2025,270000,3,1,1067,5009,Saint Paul,1259 Hubbard Ave,55104,44.965922,-93.153301
3/29/2025,274900,5/23/2025,291278,4,2,1948,5445,Saint Paul,1278 Woodbridge St,55117,44.979692,-93.108102
4/18/2025,289900,5/12/2025,296000,3,1,1400,6665,Saint Paul,1531 Alameda St,55117,44.987229,-93.130339
4/28/2025,300000,6/5/2025,320000,3,2,1680,6098,Saint Paul,1055 Wakefield Ave,55106,44.953441,-93.055942
5/7/2025,455000,6/6/2025,458690,3,2.5,1820,6621,Saint Paul,1599 Griggs St N,55108,44.989515,-93.150508
4/22/2025,450000,5/14/2025,465000,4,2,1878,4966,Saint Paul,1426 Scheffer Ave,55116,44.92128,-93.160505
3/28/2025,374900,5/13/2025,385000,3,1.5,1800,9714,Saint Paul,42 Darlene St,55119,44.942275,-93.018525
3/14/2025,998500,5/15/2025,1052000,4,2.5,4201,12632,Saint Paul,832 Osceola Ave,55105,44.935321,-93.135161
4/10/2025,350000,5/2/2025,359000,3,1.5,1168,4574,Saint Paul,807 Delaware Ave,55107,44.921768,-93.106186
,,3/31/2025,210000,3,2,1362,9540,Saint Paul,1337 Ross Ave,55106,44.966115,-93.044351
5/27/2025,310000,5/27/2025,310000,1,2.5,1153,4922,Saint Paul,1285 Juno Ave,55116,44.926303,-93.154627
2/25/2025,524999,3/14/2025,586000,3,1.5,1658,5009,Saint Paul,2152 Berkeley Ave,55105,44.933157,-93.191356
4/18/2025,299900,6/2/2025,320000,3,1,1418,4748,Saint Paul,719 Fuller Ave,55104,44.954183,-93.130454
4/26/2025,310000,5/30/2025,330000,3,2,1959,6098,Saint Paul,2184 6th St E,55119,44.960092,-93.008739
4/12/2025,369900,6/4/2025,375000,3,1,1504,5184,Saint Paul,235 Vernon St,55105,44.934519,-93.171435
4/9/2025,199900,5/22/2025,209500,1,1,823,4966,Saint Paul,408 Erie St,55102,44.929059,-93.121644
3/31/2025,265000,5/22/2025,270000,2,1,919,5227,Saint Paul,985 Seminary Ave,55104,44.965051,-93.141891
,,5/27/2025,500000,4,1.5,1567,6251,Saint Paul,1853 Jefferson Ave,55105,44.930918,-93.178612
10/2/2024,199000,12/19/2024,206000,3,1,1215,8015,Saint Paul,1159 Seminary Ave,55104,44.965062,-93.148929
4/4/2025,199900,5/19/2025,210000,3,1,1166,5009,Saint Paul,1271 Marion St,55117,44.979539,-93.110102
2/12/2025,240000,5/16/2025,245500,3,2,1216,4966,Saint Paul,873 Ohio St,55107,44.919994,-93.097914
4/21/2025,225000,5/29/2025,228500,3,1,1651,6273,Saint Paul,1680 Westminster St,55130,44.991658,-93.085934
4/8/2025,525000,5/15/2025,525000,4,1.5,2574,5968,Saint Paul,1688 Laurel Ave,55104,44.944729,-93.171684
4/28/2025,725000,5/30/2025,800000,4,1.5,2400,7362,Saint Paul,1281 Como Blvd W,55103,44.979093,-93.143988
4/22/2025,210000,5/23/2025,215000,3,2,420,4966,Saint Paul,768 Magnolia Ave E,55106,44.973629,-93.068103
3/6/2025,150000,3/26/2025,175000,3,1,1092,4879,Saint Paul,109 Geranium Ave W,55117,44.975841,-93.104698
4/24/2025,350000,6/2/2025,400000,3,2,1848,5271,Saint Paul,1511 Osceola Ave,55105,44.936357,-93.163962
4/1/2025,343000,5/30/2025,348000,4,1.5,1408,4792,Saint Paul,709 Stewart Ave,55102,44.922505,-93.129663
3/4/2025,1050000,5/30/2025,1050000,5,3,3400,6752,Saint Paul,2238 Riverwood Pl,55104,44.944456,-93.194709
4/12/2025,539900,5/29/2025,570006,5,2,2200,5053,Saint Paul,436 Saratoga St S,55105,44.928351,-93.164117
4/7/2025,359900,5/30/2025,377000,2,2,1814,7492,Saint Paul,594 Clifford St,55104,44.958493,-93.203586
3/13/2025,265000,5/30/2025,256000,3,1.5,1212,9801,Saint Paul,1797 Hyacinth Ave E,55119,44.980473,-93.024451
10/4/2024,199900,12/30/2024,200000,3,1.5,1500,6708,Saint Paul,764 Edmund Ave,55104,44.958175,-93.13248
3/10/2025,599900,4/14/2025,570000,7,3,4195,16553,Saint Paul,2376 Bayless Pl,55114,44.968265,-93.201
4/18/2025,314900,5/21/2025,331000,3,2.5,2064,4617,Saint Paul,577 Michigan St,55102,44.93528,-93.123992
4/15/2025,650000,5/30/2025,715000,3,2.5,2245,6403,Saint Paul,2188 Wellesley Ave,55105,44.931343,-93.192922
11/8/2024,265000,1/3/2025,270000,3,1.5,1277,4530,Saint Paul,453 Maryland Ave E,55130,44.977626,-93.081493
5/1/2025,299900,6/2/2025,331000,3,1.5,1591,16771,Saint Paul,445 Totem Rd,55119,44.928926,-93.01714
9/18/2024,190000,12/11/2024,183000,2,1,708,5009,Saint Paul,1992 Clear Ave E,55119,44.981769,-93.016256
4/18/2025,405900,5/27/2025,426000,4,2,2200,6273,Saint Paul,84 Hatch Ave W,55117,44.970886,-93.103553
3/11/2025,550000,4/15/2025,600000,4,2.5,2150,7579,Saint Paul,1684 Watson Ave,55116,44.924027,-93.171344
2/28/2025,324900,5/29/2025,324900,2,2,1399,5837,Saint Paul,1952 Field Ave,55116,44.902205,-93.182741
4/3/2025,590000,5/15/2025,605000,4,2.5,2397,7492,Saint Paul,1914 Selby Ave,55104,44.945891,-93.18135
2/13/2025,599900,3/17/2025,616500,4,2.5,2504,5968,Saint Paul,1168 Laurel Ave,55104,44.944722,-93.149593
11/19/2024,269500,1/23/2025,255500,3,2,1772,6708,Saint Paul,1138 Flandrau St,55106,44.975642,-93.027463
4/2/2025,599000,5/22/2025,599000,4,1.5,2136,9583,Saint Paul,1833 Goodrich Ave,55105,44.938147,-93.177828
1/22/2025,389900,2/21/2025,375000,2,1.5,1048,7449,Saint Paul,1802 Lincoln Ave,55105,44.938815,-93.176476
5/2/2025,1300000,5/30/2025,1300000,5,3.5,5506,7144,Saint Paul,463 Ashland Ave,55102,44.944695,-93.11967
5/8/2025,475000,6/3/2025,515968,3,3,2100,39727,Saint Paul,968 Larpenteur Ave W,55113,44.991446,-93.141457
1/13/2025,309999,2/20/2025,335000,3,2,1680,9278,Saint Paul,1668 Clear Ave,55106,44.981782,-93.029915
10/16/2024,237000,2/14/2025,237000,3,2,1200,4792,Saint Paul,984 Cook Ave E,55106,44.972759,-93.058994
3/6/2025,214900,4/14/2025,230000,2,2,763,6098,Saint Paul,2072 Case Ave E,55119,44.970036,-93.013181
11/14/2024,165000,12/18/2024,180000,3,1,997,4922,Saint Paul,1378 Lafond Ave,55104,44.95996,-93.158406
4/15/2025,279000,5/30/2025,290000,3,1,1737,5009,Saint Paul,1838 Arlington Ave E,55119,44.98446,-93.022625
4/22/2025,249900,6/6/2025,295000,3,1.5,1521,6098,Saint Paul,1644 Nevada Ave E,55106,44.985395,-93.031138
10/3/2024,285000,12/31/2024,280000,3,1,1418,10019,Saint Paul,663 Idaho Ave E,55106,44.990375,-93.072565
4/16/2025,219900,5/30/2025,224000,3,1,1152,8538,Saint Paul,1453 7th St E,55106,44.967,-93.039031
2/15/2025,445000,4/3/2025,480022,4,3,2112,4792,Saint Paul,855 Tuscarora Ave,55102,44.92353,-93.136083
4/10/2025,299900,6/6/2025,310000,4,2,1667,6534,Saint Paul,1078 Kingsford St,55106,44.97384,-93.028731
5/8/2025,359900,6/6/2025,345000,2,2,1428,9540,Saint Paul,1339 Maywood St,55117,44.98154,-93.127919
4/28/2025,575000,5/29/2025,610000,3,2,1849,4966,Saint Paul,880 Osceola Ave,55105,44.935446,-93.137367
5/1/2025,420000,5/27/2025,442750,3,2.5,1814,7492,Saint Paul,1381 Nebraska Ave W,55108,44.986696,-93.158433
4/24/2025,314900,5/27/2025,325000,3,1.5,918,4966,Saint Paul,882 Bayard Ave,55102,44.922127,-93.137404
11/25/2024,375000,1/3/2025,365000,3,2.5,1435,5227,Saint Paul,1659 Fernwood St,55108,44.991212,-93.151727
2/18/2025,825000,3/31/2025,825000,6,3.5,3113,6403,Saint Paul,496 Marshall Ave,55102,44.948277,-93.121098
12/2/2024,509900,1/15/2025,510000,4,2.5,2205,7797,Saint Paul,2029 Morgan Ave,55116,44.9047,-93.185762
8/1/2024,230000,2/3/2025,230000,3,2,1754,5358,Saint Paul,287 Cecelia Pl,55105,44.932801,-93.155942
3/17/2025,489900,5/12/2025,472500,3,1.5,1796,5793,Saint Paul,537 Cretin Ave S,55116,44.92536,-93.19282
,,2/25/2025,420000,3,2,1652,5271,Saint Paul,1767 Ford Pkwy,55116,44.918224,-93.174924
